zipcode;city
9310;AALST
9320;AALST
9308;AALST
9300;AALST
9881;BELLEM
9880;AALTER
9910;AALTER
3201;LANGDORP
3200;AARSCHOT
3202;RILLAAR
2630;AARTSELAAR
1790;AFFLIGEM
6250;AISEAU-PRESLES
3570;ALKEN
8690;ALVERINGEM
8691;ALVERINGEM
4540;AMAY
4770;AMBLEVE
4771;HEPPENBACH
5300;ANDENNE
1070;ANDERLECHT
6150;ANDERLUES
5537;ANHEE
4432;ANS
4431;LONCIN
4430;ANS
4163;TAVIER
4160;ANTHISNES
4162;HODY
4161;VILLERS-AUX-TOURS
7640;ANTOING
7642;CALONNE
7643;FONTENOY
7641;BRUYELLE
2020;ANTWERPEN
2030;ANTWERPEN
2100;DEURNE
2000;ANTWERPEN
2180;EKEREN
2040;ANTWERPEN
2050;ANTWERPEN
2018;ANTWERPEN
2170;MERKSEM
2140;BORGERHOUT
2660;HOBOKEN
2060;ANTWERPEN
2600;BERCHEM
2610;WILRIJK
8570;ANZEGEM
8572;KASTER
8573;TIEGEM
8851;KOOLSKAMP
8850;ARDOOIE
2370;ARENDONK
6700;ARLON
6706;AUTELBAS
6704;GUIRSCH
3668;NIEL-BIJ-AS
3665;AS
1730;ASSE
1731;ASSE
9968;ASSENEDE
9961;BOEKHOUTE
9960;ASSENEDE
5332;CRUPET
5330;ASSESSE
5334;FLOREE
5336;COURRIERE
5333;SORINNE-LA-LONGUE
7812;ATH
7810;MAFFLE
7811;ARBRE
7800;ATH
7822;ATH
7804;ATH
7801;IRCHONWELZ
7802;ORMEIGNIES
7823;GIBECQ
7803;BOUVIGNIES
6717;ATTERT
6791;ATHUS
6792;AUBANGE
6790;AUBANGE
4880;AUBEL
1160;AUDERGHEM
8582;OUTRIJVE
8581;AVELGEM
8583;BOSSUIT
8580;AVELGEM
4342;HOGNOUL
4340;AWANS
4920;AYWAILLE
2387;BAARLE-HERTOG
4837;BAELEN
2490;BALEN
2491;OLMEN
4690;BASSENGE
6600;BASTOGNE
6500;BEAUMONT
6511;STREE
5570;BEAURAING
5571;WIESME
5573;MARTOUZIN-NEUVILLE
5572;FOCANT
5576;FROIDFONTAINE
5574;PONDR‚ME
1320;BEAUVECHAIN
8730;BEERNEM
2340;BEERSE
1654;HUIZINGEN
1652;ALSEMBERG
1650;BEERSEL
1653;DWORP
1651;LOT
3130;BEGIJNENDIJK
3460;BEKKEVOORT
3461;MOLENBEEK-WERSBEEK
7971;BELOEIL
7972;BELOEIL
7970;BELOEIL
7973;BELOEIL
1082;BERCHEM-SAINTE-AGATHE
3580;BERINGEN
3581;BEVERLO
3582;KOERSEL
3583;PAAL
2590;BERLAAR
9290;BERLARE
4257;BERLOZ
7321;BERNISSART
7320;BERNISSART
7322;BERNISSART
3061;LEEFDAAL
3060;BERTEM
6687;BERTOGNE
6686;FLAMIERGE
6688;LONGCHAMPS
6880;BERTRIX
9130;BEVEREN-WAAS
9120;BEVEREN-WAAS
4610;BEYNE-HEUSAY
3360;BIERBEEK
1547;BIEVENE
5555;BIEVRE
3740;BILZEN
3746;HOELBEEK
3742;MARTENSLINDE
7134;BINCHE
7131;WAUDREZ
7130;BINCHE
7133;BUVRINNES
8370;BLANKENBERGE
4671;BLEGNY
4672;SAINT-REMY
4670;BLEGNY
3950;BOCHOLT
2530;BOECHOUT
2531;VREMDE
2820;BONHEIDEN
2850;BOOM
3190;BOORTMEERBEEK
3191;HEVER
3840;BORGLOON
2880;BORNEM
2150;BORSBEEK
6838;CORBION
6830;BOUILLON
6833;BOUILLON
6832;SENSENRUTH
6836;DOHAN
6834;BELLEVAUX
6831;NOIRFONTAINE
7300;BOUSSU
7301;HORNU
3370;BOUTERSEM
1420;BRAINE-L'ALLEUD
1421;OPHAIN-BOIS-SEIGNEUR-ISAAC
1428;LILLOIS-WITTERZEE
1440;BRAINE-LE-CH∂TEAU
7090;BRAINE-LE-COMTE
4260;BRAIVES
4263;TOURINNE
4261;LATINNE
9660;BRAKEL
9661;PARIKE
2930;BRASSCHAAT
2960;BRECHT
8450;BREDENE
3960;BREE
7940;BRUGELETTE
7942;MEVERGNIES-LEZ-LENS
7943;GAGES
7941;ATTRE
8380;BRUGGE
8310;BRUGGE
8200;BRUGGE
8000;BRUGGE
7620;BRUNEHAUT
7623;RONGY
7622;LAPLAIGNE
7624;HOWARDRIES
7621;LESDAIN
1000;BRUXELLES
1130;HAREN
1020;LAEKEN
1120;NEDER-OVER-HEEMBEEK
9255;BUGGENHOUT
4761;ROCHERATH
4760;BULLANGE
4210;BURDINNE
4790;BURG-REULAND
4791;THOMMEN
4750;BUTGENBACH
7760;CELLES
5630;CERFONTAINE
7160;CHAPELLE-LEZ-HERLAIMONT
6042;LODELINSART
6032;MONT-SUR-MARCHIENNE
6030;CHARLEROI
6000;CHARLEROI
6040;JUMET
6031;MONCEAU-SUR-SAMBRE
6043;RANSART
6041;GOSSELIES
6010;COUILLET
6060;GILLY
6001;MARCINELLE
6020;DAMPREMY
6061;MONTIGNIES-SUR-SAMBRE
6044;ROUX
1450;CHASTRE
6200;CH∂TELET
4053;EMBOURG
4051;VAUX-SOUS-CHEVREMONT
4050;CHAUDFONTAINE
4052;BEAUFAYS
1325;CHAUMONT-GISTOUX
7950;CHIEVRES
7951;TONGRE-NOTRE-DAME
6460;CHIMAY
6464;CHIMAY
6462;VAULX-LEZ-CHIMAY
6463;LOMPRET
6461;VIRELLES
6813;TERMES
6810;CHINY
6812;SUXY
6811;LES BULLES
5590;CINEY
4560;CLAVIER
7340;COLFONTAINE
4171;POULSEUR
4170;COMBLAIN-AU-PONT
7784;COMINES-WARNETON
7783;BIZET
7782;PLOEGSTEERT
7780;COMINES-WARNETON
7781;HOUTHEM
6183;TRAZEGNIES
6182;SOUVRET
6180;COURCELLES
6181;GOUY-LEZ-PIETON
1490;COURT-SAINT-ETIENNE
5660;COUVIN
4367;CRISNEE
4607;DALHEM
4608;DALHEM
4606;SAINT-ANDRE
8340;DAMME
6929;DAVERDISSE
8421;VLISSEGEM
8420;DE HAAN
8660;DE PANNE
9840;DE PINTE
8540;DEERLIJK
9850;DEINZE
9800;DEINZE
9472;IDDERGEM
9470;DENDERLEEUW
9473;WELLE
9200;DENDERMONDE
8720;DENTERGEM
2480;DESSEL
9070;DESTELBERGEN
3590;DIEPENBEEK
3294;MOLENSTEDE
3293;KAGGEVINNE
3290;DIEST
8600;DIKSMUIDE
1703;SCHEPDAAL
1700;DILBEEK
1702;GROOT-BIJGAARDEN
1701;ITTERBEEK
3650;DILSEN-STOKKEM
5503;SORINNES
5504;FOY-NOTRE-DAME
5500;DINANT
5502;THYNES
5501;LISOGNE
4821;ANDRIMONT
4820;DISON
5680;DOISCHE
4357;DONCEEL
7370;DOUR
1620;DROGENBOS
2570;DUFFEL
6941;DURBUY
6940;DURBUY
7190;ECAUSSINNES
7191;ECAUSSINNES-LALAING
2650;EDEGEM
9900;EEKLO
5310;EGHEZEE
7890;ELLEZELLES
7850;ENGHIEN
4480;ENGIS
6997;EREZEE
9420;ERPE-MERE
6560;ERQUELINNES
4130;ESNEUX
8587;ESPIERRES-HELCHIN
2910;ESSEN
7730;ESTAIMPUIS
7120;ESTINNES
6743;BUZENOL
6740;ETALLE
6741;VANCE
6742;CHANTEMELLE
1040;ETTERBEEK
4701;KETTENIS
4700;EUPEN
1140;EVERE
9940;EVERGEM
4317;FAIMES
6240;FARCIENNES
6637;FAUVILLERS
5380;FERNELMONT
4190;FERRIERES
4347;FEXHE-LE-HAUT-CLOCHER
4400;FLEMALLE
4620;FLERON
4623;MAGNEE
4621;RETINNE
4624;ROMSEE
6220;FLEURUS
6224;WANFERCEE-BAULET
6221;SAINT-AMAND
6222;BRYE
6223;WAGNELEE
7880;FLOBECQ
5150;FLOREFFE
5621;FLORENNES
5620;FLORENNES
6823;VILLERS-DEVANT-ORVAL
6820;FLORENVILLE
6821;LACUISINE
6824;CHASSEPIERRE
6141;FORCHIES-LA-MARCHE
6142;LEERNES
6140;FONTAINE-L'EVEQUE
1190;FOREST
5070;FOSSES-LA-VILLE
3791;REMERSDAAL
3798;FOURON-LE-COMTE
3790;FOURONS
3792;FOURON-SAINT-PIERRE
3793;TEUVEN
7080;FRAMERIES
7911;FRASNES-LEZ-ANVAING
7910;FRASNES-LEZ-ANVAING
7912;FRASNES-LEZ-ANVAING
6441;ERPION
6440;FROIDCHAPELLE
1570;GALMAARDEN
1083;GANSHOREN
9890;GAVERE
5575;GEDINNE
2440;GEEL
4250;GEER
4254;LIGNEY
4252;OMAL
4253;DARION
3454;RUMMEN
3450;GEETBETS
5030;GEMBLOUX
5032;GEMBLOUX
5031;GRAND-LEEZ
1473;GLABAIS
1472;VIEUX-GENAPPE
1474;WAYS
1476;HOUTAIN-LE-VAL
1470;GENAPPE
1471;LOUPOIGNE
3600;GENK
9032;WONDELGEM
9040;SINT-AMANDSBERG
9051;GENT
9042;GENT
9030;MARIAKERKE
9050;GENT
9041;OOSTAKKER
9000;GENT
9031;DRONGEN
9052;ZWIJNAARDE
9500;GERAARDSBERGEN
9506;GERAARDSBERGEN
6280;GERPINNES
5340;GESVES
3890;GINGELOM
3891;GINGELOM
8470;GISTEL
3380;GLABBEEK
3384;ATTENRODE
3381;KAPELLEN
1755;GOOIK
6670;GOUVY
6674;MONTLEBAN
6672;BEHO
6671;BOVIGNY
6673;CHERAIN
4460;GR∂CE-HOLLOGNE
1390;GREZ-DOICEAU
1853;STROMBEEK-BEVER
1852;BEIGEM
1850;GRIMBERGEN
1851;HUMBEEK
2280;GROBBENDONK
2288;BOUWEL
3150;HAACHT
9450;HAALTERT
9451;KERKSKEN
6724;HABAY
6720;HABAY
6723;HABAY-LA-VIEILLE
6721;ANLIER
3545;HALEN
1500;HALLE
1502;LEMBEEK
1501;BUIZINGEN
3945;HAM
6120;HAM-SUR-HEURE
9220;HAMME
4180;HAMOIR
4181;FILOT
5363;EMPTINNE
5361;HAMOIS
5360;HAMOIS
5362;ACHET
5364;SCHALTIN
3930;HAMONT-ACHEL
4280;HANNUT
8531;HARELBEKE
8530;HARELBEKE
3510;HASSELT
3500;HASSELT
3511;HASSELT
3512;STEVOORT
3501;WIMMERTINGEN
5544;AGIMONT
5541;HASTIERE-PAR-DELA
5543;HEER
5540;HASTIERE
5542;BLAIMONT
5370;HAVELANGE
5372;MEAN
5374;MAFFE
5376;MIECRET
3940;HECHTEL-EKSEL
3941;EKSEL
3870;HEERS
2222;HEIST-OP-DEN-BERG
2220;HEIST-OP-DEN-BERG
2223;SCHRIEK
2221;BOOISCHOT
1357;HELECINE
2620;HEMIKSEM
7350;HENSIES
6887;HERBEUMONT
3020;HERENT
2200;HERENTALS
2270;HERENTHOUT
3540;HERK-DE-STAD
1540;HERNE
1541;SINT-PIETERS-KAPELLE
4217;HERON
4218;COUTHUIN
2230;HERSELT
4040;HERSTAL
4042;LIERS
4041;HERSTAL
3717;HERSTAPPE
4650;HERVE
4654;CHARNEUX
4653;BOLLAND
4652;XHENDELESSE
4651;BATTICE
9550;HERZELE
9552;BORSBEKE
9551;RESSEGEM
3550;HEUSDEN-ZOLDER
8950;HEUVELLAND
8951;DRANOUTER
8958;LOKER
8952;WULVERGEM
8953;WIJTSCHATE
8956;KEMMEL
8954;WESTOUTER
3321;OUTGAARDEN
3320;HOEGAARDEN
1560;HOEILAART
3732;SCHALKHOVEN
3730;HOESELT
3221;NIEUWRODE
3220;HOLSBEEK
7387;HONNELLES
8830;HOOGLEDE
2320;HOOGSTRATEN
2328;MEERLE
2321;MEER
2322;MINDERHOUT
2323;WORTEL
9667;HOREBEKE
6990;HOTTON
6666;WIBRIN
6661;HOUFFALIZE
6660;HOUFFALIZE
6663;MABOMPRE
6662;TAVIGNY
3530;HOUTHALEN-HELCHTEREN
8650;HOUTHULST
5563;HOUR
5560;HOUYET
5561;CELLES
5564;WANLIN
5562;CUSTINNE
2540;HOVE
3040;HULDENBERG
2235;HULSHOUT
4500;HUY
8480;ICHTEGEM
8906;ELVERDINGE
8900;IEPER
8902;IEPER
8904;IEPER
8908;VLAMERTINGE
1315;INCOURT
8770;INGELMUNSTER
1460;ITTRE
1461;HAUT-ITTRE
1050;IXELLES
8870;IZEGEM
8490;JABBEKE
4845;JALHAY
5190;JEMEPPE-SUR-SAMBRE
1090;JETTE
1370;JODOIGNE
4451;VOROUX-LEZ-LIERS
4450;JUPRELLE
4453;VILLERS-SAINT-SIMEON
4452;JUPRELLE
4458;FEXHE-SLINS
7050;JURBISE
2920;KALMTHOUT
1910;KAMPENHOUT
1880;KAPELLE-OP-DEN-BOS
2950;KAPELLEN
9971;LEMBEKE
9970;KAPRIJKE
2460;KASTERLEE
3140;KEERBERGEN
3640;KINROOI
9690;KLUISBERGEN
8300;KNOKKE-HEIST
8301;KNOKKE-HEIST
8680;KOEKELARE
1081;KOEKELBERG
8670;KOKSIJDE
2550;KONTICH
8610;KORTEMARK
3471;HOELEDEN
3472;KERSBEEK-MISKOM
3470;KORTENAKEN
3473;WAANRODE
3078;KORTENBERG
3070;KORTENBERG
3071;ERPS-KWERPS
3721;VLIERMAALROOT
3723;GUIGOVEN
3724;VLIERMAAL
3722;WINTERSHOVEN
3720;KORTESSEM
8500;KORTRIJK
8501;KORTRIJK
8510;KORTRIJK
8511;AALBEKE
1950;KRAAINEM
9150;KRUIBEKE
9770;KRUISEM
9750;KRUISEM
9771;NOKERE
9772;WANNEGEM-LEDE
8520;KUURNE
5081;LA BRUYERE
5080;LA BRUYERE
4721;NEU-MORESNET
4728;HERGENRATH
4720;LA CALAMINE
1310;LA HULPE
7100;LA LOUVIERE
7110;LA LOUVIERE
6984;HIVES
6982;SAMREE
6983;ORTHO
6986;HALLEUX
6980;LA ROCHE-EN-ARDENNE
2430;LAAKDAL
2431;LAAKDAL
9270;LAARNE
3620;LANAKEN
3621;REKEM
3401;LANDEN
3400;LANDEN
3404;LANDEN
8920;LANGEMARK-POELKAPELLE
1380;LASNE
7070;LE ROEULX
9280;LEBBEKE
9340;LEDE
8880;LEDEGEM
6860;LEGLISE
8860;LENDELEDE
1750;LENNIK
7870;LENS
3971;HEPPEN
3970;LEOPOLDSBURG
6210;LES BONS VILLERS
6211;MELLET
7862;OGY
7866;LESSINES
7863;GHOY
7864;DEUX-ACREN
7860;LESSINES
7861;LESSINES
3018;WIJGMAAL
3012;WILSELE
3010;KESSEL LO
3001;HEVERLEE
3000;LEUVEN
7904;LEUZE-EN-HAINAUT
7903;LEUZE-EN-HAINAUT
7901;THIEULAIN
7900;LEUZE-EN-HAINAUT
7906;GALLAIX
6890;LIBIN
6800;LIBRAMONT-CHEVIGNY
8810;LICHTERVELDE
1770;LIEDEKERKE
4000;LIEGE
4030;GRIVEGNEE
4020;LIEGE
4032;CHENEE
4031;ANGLEUR
2500;LIER
9570;LIERDE
9572;SINT-MARTENS-LIERDE
9571;HEMELVEERDEGEM
4990;LIERNEUX
9921;VINDERHOUTE
9930;LIEVEGEM
9920;LOVENDEGEM
9932;RONSELE
9931;OOSTWINKEL
9950;WAARSCHOOT
2275;LILLE
4831;BILSTAIN
4834;GOE
4830;LIMBOURG
4287;LINCENT
1630;LINKEBEEK
2547;LINT
3350;LINTER
8647;LO-RENINGE
6543;BIENNE-LEZ-HAPPART
6542;SARS-LA-BUISSIERE
6540;LOBBES
9080;LOCHRISTI
9160;LOKEREN
3920;LOMMEL
1840;LONDERZEEL
4711;WALHORN
4710;LONTZEN
3212;PELLENBERG
3210;LUBBEEK
3211;BINKOM
3560;LUMMEN
9688;SCHORISSE
9680;MAARKEDAL
9681;NUKERKE
3680;MAASEIK
3630;MAASMECHELEN
3631;MAASMECHELEN
1830;MACHELEN
1831;DIEGEM
9991;ADEGEM
9992;MIDDELBURG
9990;MALDEGEM
2390;MALLE
4960;MALMEDY
7170;MANAGE
6960;MANHAY
6900;MARCHE-EN-FAMENNE
4570;MARCHIN
6630;MARTELANGE
2801;HEFFEN
2812;MUIZEN
2811;MECHELEN
2800;MECHELEN
2450;MEERHOUT
1860;MEISE
1861;WOLVERTEM
6769;MEIX-DEVANT-VIRTON
9090;MELLE
8930;MENEN
6567;MERBES-LE-CH∂TEAU
1785;MERCHTEM
9820;MERELBEKE
2330;MERKSPLAS
6782;HABERGY
6780;MESSANCY
6781;SELANGE
8957;MESSINES
5641;FURNAUX
5640;METTET
5646;STAVE
5644;ERMETON-SUR-BIERT
8760;MEULEBEKE
8431;WILSKERKE
8433;MIDDELKERKE
8434;MIDDELKERKE
8430;MIDDELKERKE
8432;LEFFINGE
4577;MODAVE
9180;MOERBEKE-WAAS
2400;MOL
1080;MOLENBEEK-SAINT-JEAN
6592;MONCEAU-IMBRECHIES
6590;MOMIGNIES
6591;MACON
6596;MOMIGNIES
6593;MACQUENOISE
6594;BEAUWELZ
7020;MONS
7030;SAINT-SYMPHORIEN
7022;MONS
7034;MONS
7033;CUESMES
7021;HAVRE
7032;SPIENNES
7000;MONS
7024;CIPLY
7012;MONS
7031;VILLERS-SAINT-GHISLAIN
7011;GHLIN
7750;MONT-DE-L'ENCLUS
1435;MONT-SAINT-GUIBERT
6111;LANDELIES
6110;MONTIGNY-LE-TILLEUL
8890;MOORSLEDE
7140;MORLANWELZ
7141;MORLANWELZ
2640;MORTSEL
7700;MOUSCRON
7712;HERSEAUX
7711;DOTTIGNIES
6750;MUSSON
5020;NAMUR
5100;NAMUR
5021;BONINNE
5002;SAINT-SERVAIS
5101;NAMUR
5024;NAMUR
5004;BOUGE
5001;BELGRADE
5003;SAINT-MARC
5022;COGNELEE
5000;NAMUR
4550;NANDRIN
6953;NASSOGNE
6950;NASSOGNE
6951;BANDE
6952;GRUNE
9810;NAZARETH
6840;NEUFCH∂TEAU
4120;NEUPRE
4121;NEUVILLE-EN-CONDROZ
4122;PLAINEVAUX
2845;NIEL
3850;NIEUWERKERKEN
8620;NIEUWPOORT
2560;NIJLEN
9400;NINOVE
9404;ASPELARE
9406;OUTER
9402;MEERBEKE
9403;NEIGEM
9401;POLLARE
1401;BAULERS
1400;NIVELLES
1402;THINES
1404;BORNIVAL
5351;HAILLOT
5350;OHEY
5354;JALLET
5353;GOESNES
5352;PERWEZ-HAILLOT
2250;OLEN
4877;OLNE
5522;FALA”N
5521;SERVILLE
5523;ONHAYE
5520;ONHAYE
5524;GERIN
8400;OOSTENDE
9860;OOSTERZELE
8020;OOSTKAMP
8780;OOSTROZEBEKE
1745;OPWIJK
4360;OREYE
1350;ORP-JAUCHE
1340;OTTIGNIES-LOUVAIN-LA-NEUVE
1341;CEROUX-MOUSTY
1348;LOUVAIN-LA-NEUVE
1342;LIMELETTE
3052;BLANDEN
3050;OUD-HEVERLEE
3053;HAASRODE
3054;VAALBEEK
3051;SINT-JORIS-WEERT
2360;OUD-TURNHOUT
9700;OUDENAARDE
8460;OUDENBURG
3670;OUDSBERGEN
3660;OPGLABBEEK
4590;OUFFET
4680;OUPEYE
4682;OUPEYE
4684;HACCOURT
4681;HERMALLE-SOUS-ARGENTEAU
4683;VIVEGNIS
3090;OVERIJSE
6852;PALISEUL
6851;NOLLEVAUX
6856;FAYS-LES-VENEURS
6853;FRAMONT
6850;PALISEUL
7740;PECQ
7743;PECQ
7742;HERINNES-LEZ-PECQ
3990;PEER
3900;PELT
3910;PELT
1670;PEPINGEN
1673;BEERT
1671;ELINGEN
1674;BELLINGEN
4860;PEPINSTER
4861;SOIRON
7608;WIERS
7604;PERUWELZ
7600;PERUWELZ
7601;ROUCOURT
7602;BURY
7603;BON-SECOURS
1360;PERWEZ
5600;PHILIPPEVILLE
8740;PITTEM
4850;PLOMBIERES
4851;PLOMBIERES
4852;HOMBOURG
6230;PONT-A-CELLES
6238;PONT-A-CELLES
8972;POPERINGE
8970;POPERINGE
8978;WATOU
5170;PROFONDEVILLE
2580;PUTTE
2870;PUURS-SINT-AMANDS
2890;PUURS-SINT-AMANDS
7390;QUAREGNON
7040;QUEVY
7041;QUEVY
7382;AUDREGNIES
7380;QUIEVRAIN
4731;EYNATTEN
4730;RAEREN
1367;RAMILLIES
2520;RANST
2380;RAVELS
2382;POPPEL
2381;WEELDE
1430;REBECQ
4350;REMICOURT
4351;HODEIGE
9600;RENAIX
6987;RENDEUX
2470;RETIE
1640;RHODE-SAINT-GENESE
3770;RIEMST
2310;RIJKEVORSEL
1330;RIXENSART
1331;ROSIERES
1332;GENVAL
5580;ROCHEFORT
8800;ROESELARE
1760;ROOSDAAL
1761;BORCHTLOMBEEK
3110;ROTSELAAR
3118;WERCHTER
3111;WEZEMAAL
6767;ROUVROY
8755;RUISELEDE
7618;TAINTIGNIES
7610;RUMES
7611;LA GLANERIE
2840;RUMST
4470;SAINT-GEORGES-SUR-MEUSE
7331;BAUDOUR
7332;SAINT-GHISLAIN
7330;SAINT-GHISLAIN
7333;TERTRE
7334;SAINT-GHISLAIN
1060;SAINT-GILLES
6870;SAINT-HUBERT
1210;SAINT-JOSSE-TEN-NOODE
6747;SAINT-LEGER
4420;SAINT-NICOLAS
4780;SAINT-VITH
4783;LOMMERSWEILER
4782;SCHOENBERG
4784;CROMBACH
6680;SAINTE-ODE
6681;LAVACHERIE
5060;SAMBREVILLE
1030;SCHAERBEEK
2627;SCHELLE
3270;SCHERPENHEUVEL-ZICHEM
3271;SCHERPENHEUVEL-ZICHEM
3272;SCHERPENHEUVEL-ZICHEM
2970;SCHILDE
2900;SCHOTEN
7181;SENEFFE
7180;SENEFFE
4101;JEMEPPE-SUR-MEUSE
4102;OUGREE
4100;SERAING
7830;SILLY
9170;SINT-GILLIS-WAAS
2860;SINT-KATELIJNE-WAVER
2861;ONZE-LIEVE-VROUW-WAVER
9988;SINT-LAUREINS
9982;SINT-JAN-IN-EREMO
9980;SINT-LAUREINS
9981;SINT-MARGRIETE
9520;SINT-LIEVENS-HOUTEM
9521;LETTERHOUTEM
9830;SINT-MARTENS-LATEM
9831;DEURLE
9100;SINT-NIKLAAS
9111;BELSELE
9112;SINAAI-WAAS
1600;SINT-PIETERS-LEEUW
1601;RUISBROEK
1602;VLEZENBEEK
3800;SINT-TRUIDEN
3803;SINT-TRUIDEN
3806;VELM
6470;SIVRY-RANCE
7063;SOIGNIES
7061;SOIGNIES
7060;SOIGNIES
7062;NAAST
5140;SOMBREFFE
5377;SOMME-LEUZE
4630;SOUMAGNE
4632;CEREXHE-HEUSEUX
4631;EVEGNEE
4633;MELEN
4900;SPA
4140;SPRIMONT
4141;LOUVEIGNE
2940;STABROEK
8840;STADEN
4970;STAVELOT
1820;STEENOKKERZEEL
9190;STEKENE
4987;STOUMONT
6927;TELLIN
9140;TEMSE
6970;TENNEVILLE
6972;ERNEUVILLE
6971;CHAMPLON
1740;TERNAT
1741;WAMBEEK
1742;SINT-KATHERINA-LOMBEEK
3080;TERVUREN
3980;TESSENDERLO
4910;THEUX
4890;THIMISTER-CLERMONT
6531;BIESME-SOUS-THUIN
6533;BIERCEE
6536;THUIN
6532;RAGNIES
6530;THUIN
6534;GOZEE
8700;TIELT
3390;TIELT-WINGE
3391;MEENSEL-KIEZEGEM
3300;TIENEN
4557;TINLOT
6730;TINTIGNY
3700;TONGEREN
8820;TORHOUT
7542;MONT-SAINT-AUBERT
7506;WILLEMEAU
7534;TOURNAI
7500;TOURNAI
7540;TOURNAI
7543;MOURCOURT
7533;THIMOUGIES
7532;BECLERS
7538;VEZON
7548;WARCHIN
7521;CHERCQ
7530;GAURAIN-RAMECROIX
7522;TOURNAI
7520;TOURNAI
7536;VAULX
7503;FROYENNES
7502;ESPLECHIN
7531;HAVINNES
7501;ORCQ
7504;FROIDMONT
3128;BAAL
3120;TREMELO
4980;TROIS-PONTS
4983;BASSE-BODEUX
4870;TROOZ
1480;TUBIZE
2300;TURNHOUT
1180;UCCLE
6642;JUSERET
6640;VAUX-SUR-SÍRE
4537;VERLAINE
4801;STEMBERT
4800;VERVIERS
4802;HEUSY
8630;VEURNE
6698;GRAND-HALLEUX
6690;VIELSALM
6692;PETIT-THIER
1495;VILLERS-LA-VILLE
4530;VILLERS-LE-BOUILLET
1800;VILVOORDE
5670;VIROINVAL
6762;SAINT-MARD
6760;VIRTON
6761;LATOUR
4600;VISE
4601;ARGENTEAU
4602;CHERATTE
8640;VLETEREN
2290;VORSELAAR
2350;VOSSELAAR
5550;VRESSE-SUR-SEMOIS
9250;WAASMUNSTER
9185;WACHTEBEKE
4950;WAIMES
5650;WALCOURT
5651;WALCOURT
1457;WALHAIN
4520;WANZE
8792;DESSELGEM
8790;WAREGEM
8791;BEVEREN
8793;SINT-ELOOIS-VIJVE
4300;WAREMME
4219;WASSEIGES
1410;WATERLOO
1170;WATERMAEL-BOITSFORT
1300;WAVRE
1301;BIERGES
4840;WELKENRAEDT
4841;HENRI-CHAPELLE
3830;WELLEN
3832;ULBEEK
3831;HERTEN
6920;WELLIN
6922;HALMA
6921;CHANLY
6924;LOMPREZ
1780;WEMMEL
8940;WERVIK
2260;WESTERLO
9230;WETTEREN
8560;WEVELGEM
1970;WEZEMBEEK-OPPEM
9260;WICHELEN
8710;WIELSBEKE
2110;WIJNEGEM
2830;WILLEBROEK
8750;WINGENE
1200;WOLUWE-SAINT-LAMBERT
1150;WOLUWE-SAINT-PIERRE
2160;WOMMELGEM
9790;WORTEGEM-PETEGEM
2990;WUUSTWEZEL
5530;YVOIR
2242;PULDERBOS
2240;ZANDHOVEN
2243;PULLE
1933;STERREBEEK
1930;ZAVENTEM
1932;SINT-STEVENS-WOLUWE
8210;ZEDELGEM
8211;AARTRIJKE
9240;ZELE
9060;ZELZATE
1982;ZEMST
1980;ZEMST
1981;HOFSTADE
2980;ZOERSEL
3520;ZONHOVEN
8980;ZONNEBEKE
9620;ZOTTEGEM
3440;ZOUTLEEUW
8377;ZUIENKERKE
9870;ZULTE
3690;ZUTENDAAL
9630;ZWALM
9636;NEDERZWALM-HERMELGEM
8554;SINT-DENIJS
8551;HEESTERT
8553;OTEGEM
8552;MOEN
8550;ZWEVEGEM
2070;ZWIJNDRECHT
1733;HIGHCO DATA
5012;PARLEMENT WALLON
1049;UNION EUROPEENNE - COMMISSION
1048;UNION EUROPEENNE - CONSEIL
1044;RTBF
1212;SPF MOBILITE
5589;JEMELLE
2099;ANTWERPEN X
1101;SCANNING
9075;CSM GENT X
1804;CARGOVIL
1934;OFFICE EXCHANGE BRUSSELS AIRPORT REMAILING
1008;CHAMBRE DES REPRESENTANTS
1031;ORGANISATIONS SOCIALES CHRETIENNES
1011;VLAAMS PARLEMENT
1043;VRT
1005;ASSEMBLEE REUNIE DE LA COMMISSION COMMUNAUTAIRE
7513;YVES ROCHER
7511;VITRINE MAGIQUE
1935;CORPORATE VILLAGE
7512;YVES ROCHER
612;SAINT-NICOLAS
9099;GENT X
4099;LIEGE X
1033;RTL-TVI
6099;CHARLEROI X
7010;SHAPE
1099;BRUXELLES X
1035;MINISTERE DE LA REGION DE BRUXELLES CAPITALE
1009;SENAT DE BELGIQUE
6075;CSM CHARLEROI X
1041;INTERNATIONAL PRESS CENTER
1012;PARLEMENT DE LA COMMUNAUTE FRANÄAISE
1818;VTM
1046;EUROPEAN EXTERNAL ACTION SERVICE
1047;PARLEMENT EUROPEEN
5010;SA SUDPRESSE
1100;POSTCHEQUE
7510;3 SUISSES
1105;ACTISOC
1007;ASSEMBLEE DE LA COMMISSION COMMUNAUTAIRE FRANÄAISE
1931;BRUCARGO
1110;OTAN
1006;RAAD VAN DE VLAAMSE GEMEENSCHAPSCOMMISSIE